Date,Model,Actual,Predicted,Probability
2021-09-11,Logistic Regression,1,0,0.4196096583196229
2021-09-12,Logistic Regression,1,1,0.8699666818850176
2021-09-13,Logistic Regression,1,0,0.48985048379019264
2021-09-17,Logistic Regression,0,0,0.47636310694344086
2021-09-18,Logistic Regression,0,0,0.42408845573032017
2021-09-18,Logistic Regression,0,0,0.2613127981998252
2021-09-18,Logistic Regression,1,0,0.469500383450282
2021-09-18,Logistic Regression,0,1,0.6809740324512633
2021-09-18,Logistic Regression,1,1,0.5843368983939092
2021-09-18,Logistic Regression,1,0,0.338515070079042
2021-09-19,Logistic Regression,1,1,0.6838338287822802
2021-09-19,Logistic Regression,1,0,0.30876458776000765
2021-09-19,Logistic Regression,1,0,0.4063123469676516
2021-09-25,Logistic Regression,1,1,0.6620867890729434
2021-09-25,Logistic Regression,0,0,0.2832803769626761
2021-09-25,Logistic Regression,1,1,0.6378358652095117
2021-09-25,Logistic Regression,0,0,0.46420696742930634
2021-09-25,Logistic Regression,0,0,0.3720924590422623
2021-09-25,Logistic Regression,0,1,0.5877134639061845
2021-09-25,Logistic Regression,1,1,0.6605424778991811
2021-09-26,Logistic Regression,0,0,0.3734124580421957
2021-09-26,Logistic Regression,1,1,0.5374269698638771
2021-09-27,Logistic Regression,0,0,0.3647228606885149
2021-10-02,Logistic Regression,0,0,0.37205439277856955
2021-10-02,Logistic Regression,0,0,0.2892039163658097
2021-10-02,Logistic Regression,1,0,0.37733159921666365
2021-10-02,Logistic Regression,0,0,0.085530698741504
2021-10-02,Logistic Regression,0,1,0.5062977813356807
2021-10-02,Logistic Regression,1,1,0.6905264677885787
2021-10-03,Logistic Regression,1,0,0.44592828368267273
2021-10-03,Logistic Regression,1,1,0.5016622452114273
2021-10-03,Logistic Regression,1,1,0.6613307279546772
2021-10-03,Logistic Regression,1,1,0.6087956842279704
2021-10-16,Logistic Regression,0,0,0.03527365166512401
2021-10-16,Logistic Regression,0,1,0.6248855983784113
2021-10-16,Logistic Regression,0,0,0.38506461595164915
2021-10-16,Logistic Regression,1,0,0.3608045767817153
2021-10-16,Logistic Regression,1,1,0.6691147889658942
2021-10-16,Logistic Regression,1,1,0.5542903809557005
2021-10-16,Logistic Regression,0,0,0.3194722101552467
2021-10-17,Logistic Regression,0,0,0.26997339529665404
2021-10-17,Logistic Regression,1,1,0.8063057419729449
2021-10-18,Logistic Regression,1,1,0.5227736749594736
2021-10-22,Logistic Regression,1,0,0.4212857779003693
2021-10-23,Logistic Regression,1,1,0.646656933391646
2021-10-23,Logistic Regression,1,1,0.9498874230024542
2021-10-23,Logistic Regression,0,0,0.2258634856396164
2021-10-23,Logistic Regression,1,1,0.7043847285951814
2021-10-23,Logistic Regression,0,1,0.536120995514604
2021-10-23,Logistic Regression,1,1,0.5070317258563598
2021-10-24,Logistic Regression,1,1,0.7415213872039426
2021-10-24,Logistic Regression,0,1,0.5091484411481128
2021-10-24,Logistic Regression,1,1,0.5189338538340222
2021-10-30,Logistic Regression,0,0,0.4214044405755673
2021-10-30,Logistic Regression,1,1,0.5137283185310357
2021-10-30,Logistic Regression,1,1,0.6116193362572249
2021-10-30,Logistic Regression,0,1,0.6531441269822791
2021-10-30,Logistic Regression,1,0,0.43213802812552954
2021-10-30,Logistic Regression,0,0,0.23303419117849475
2021-10-30,Logistic Regression,1,1,0.746437955128125
